x,y,filename,cluster,full_path
-1.5727974,13.25911,Use Amazon barcodes to track inventory.md,0,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/Use Amazon barcodes to track inventory.md
-1.7141266,13.542477,Shipping and routing requirements.md,0,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/Shipping and routing requirements.md
-0.9882234,12.441658,List products for Fulfillment by Amazon.md,0,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/List products for Fulfillment by Amazon.md
-0.79131037,13.069008,Ship products to Amazon.md,0,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/Ship products to Amazon.md
-2.4947348,13.258205,Packaging and prep requirements.md,0,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/Packaging and prep requirements.md
1.9380533,13.149517,FBA policies and requirements.md,-1,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/FBA policies and requirements.md
-1.6205664,13.008373,Using manufacturer barcodes with FBA virtual tracking.md,0,amazon_help_pages_us_prod/Get started with Fulfillment by Amazon FBA/Using manufacturer barcodes with FBA virtual tracking.md
2.2733521,13.725513,Amazon Custom returns policies.md,0,amazon_help_pages_us_prod/Service and Delivery Management/Amazon Custom returns policies.md
4.468941,9.222747,Seller Wallet registration FAQ for sellers from the Netherlands.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet registration FAQ for sellers from the Netherlands.md
-4.0889487,6.563028,Enrollment guidelines for Egypt.md,0,amazon_help_pages_us_prod/General Documentation/Enrollment guidelines for Egypt.md
0.101493314,12.539942,Inbound Defects and Guardrails.md,0,amazon_help_pages_us_prod/General Documentation/Inbound Defects and Guardrails.md
-4.116647,12.0494585,Animals  Animal-Related Products.md,-1,amazon_help_pages_us_prod/General Documentation/Animals  Animal-Related Products.md
0.64386904,13.135586,Inbound performance notifications.md,0,amazon_help_pages_us_prod/General Documentation/Inbound performance notifications.md
-0.059354354,11.733047,Aged inventory surcharge.md,0,amazon_help_pages_us_prod/General Documentation/Aged inventory surcharge.md
-1.5788363,13.43788,FBA inventory requirements.md,0,amazon_help_pages_us_prod/General Documentation/FBA inventory requirements.md
4.36187,9.82594,Two-Step Verification.md,1,amazon_help_pages_us_prod/General Documentation/Two-Step Verification.md
-1.5246694,8.903686,Copy a listing.md,-1,amazon_help_pages_us_prod/General Documentation/Copy a listing.md
-0.20350337,13.501804,How to confirm a shipment.md,0,amazon_help_pages_us_prod/General Documentation/How to confirm a shipment.md
-0.24471748,9.085361,Amazon Outlet.md,2,amazon_help_pages_us_prod/General Documentation/Amazon Outlet.md
-1.4940114,8.681734,Amazon Handmade Edit product listings.md,0,amazon_help_pages_us_prod/General Documentation/Amazon Handmade Edit product listings.md
-1.0867066,11.054161,FBA New Selection Terms and Conditions.md,3,amazon_help_pages_us_prod/General Documentation/FBA New Selection Terms and Conditions.md
-2.115747,9.127152,Amazon Handmade List your products.md,0,amazon_help_pages_us_prod/General Documentation/Amazon Handmade List your products.md
-2.4155436,9.250765,Use search terms effectively.md,-1,amazon_help_pages_us_prod/General Documentation/Use search terms effectively.md
1.2952356,14.598716,Account health FAQ.md,4,amazon_help_pages_us_prod/General Documentation/Account health FAQ.md
1.4792539,12.763796,Inventory Defect and Reimbursement IDR Portal.md,0,amazon_help_pages_us_prod/General Documentation/Inventory Defect and Reimbursement IDR Portal.md
2.3981142,14.060248,Ineligible items for prepaid returns.md,-1,amazon_help_pages_us_prod/General Documentation/Ineligible items for prepaid returns.md
-4.2027354,11.755675,Medical devices and accessories.md,0,amazon_help_pages_us_prod/General Documentation/Medical devices and accessories.md
1.2703446,12.431362,Inventory Ledger report How to find the information you need.md,0,amazon_help_pages_us_prod/General Documentation/Inventory Ledger report How to find the information you need.md
0.52823275,10.927411,Merch Collab fees and royalties.md,0,amazon_help_pages_us_prod/General Documentation/Merch Collab fees and royalties.md
0.037540123,12.1673565,Amazon Managed Service.md,0,amazon_help_pages_us_prod/General Documentation/Amazon Managed Service.md
-3.538802,11.472289,Listing restrictions.md,0,amazon_help_pages_us_prod/General Documentation/Listing restrictions.md
3.791504,9.323446,Update credit or debit card information.md,5,amazon_help_pages_us_prod/General Documentation/Update credit or debit card information.md
-0.69944435,13.892002,Amazon Print Connect.md,-1,amazon_help_pages_us_prod/General Documentation/Amazon Print Connect.md
-2.695595,9.342921,Best Practices for Listing Quality.md,-1,amazon_help_pages_us_prod/General Documentation/Best Practices for Listing Quality.md
